INDE,IAN,IDA,IEG,IAA,IPS,IPP,IPV,FASE IDEAL,DEFA,ANO,FASE
5.918,5.0,5.0,5.3,8.3,7.5,6.363999999999992,5.708,Fase 4 (9º ano),-1,22,3.0
6.549,5.0,6.8,6.1,7.5,7.5,7.274000000000003,6.208,Fase 4 (9º ano),-1,22,3.0
6.471,10.0,3.3,6.4,9.2,7.5,6.943999999999999,5.833,Fase 3 (7º e 8º ano),0,22,3.0
6.196,5.0,4.8,6.7,7.5,7.5,6.125999999999996,6.417,Fase 5 (1º EM),-2,22,3.0
8.62,10.0,6.9,9.4,10.0,7.5,9.099999999999993,8.5,Fase 3 (7º e 8º ano),0,22,3.0
6.328,5.0,5.7,5.1,7.9,7.5,7.779999999999996,6.75,Fase 4 (9º ano),-1,22,3.0
6.116,5.0,3.8,7.4,8.8,7.5,6.793999999999993,5.333,Fase 4 (9º ano),-1,22,3.0
4.245,10.0,0.0,4.9,0.0,7.5,6.0660000000000025,4.542,Fase 3 (7º e 8º ano),0,22,3.0
6.051,5.0,3.8,7.4,7.9,7.5,6.709999999999994,5.5,Fase 4 (9º ano),-1,22,3.0
6.719,10.0,4.3,7.6,10.0,5.6,6.624000000000008,5.583,Fase 3 (7º e 8º ano),0,22,3.0
6.79,5.0,6.3,7.3,8.3,7.5,7.065999999999999,6.417,Fase 4 (9º ano),-1,22,3.0
7.11,10.0,3.7,7.5,9.6,7.5,7.183999999999999,7.208,Fase 3 (7º e 8º ano),0,22,3.0
8.084,5.0,7.8,9.0,10.0,7.5,7.905999999999995,8.417,Fase 4 (9º ano),-1,22,3.0
6.331,5.0,5.1,6.4,8.8,5.0,7.093999999999996,7.208,Fase 4 (9º ano),-1,22,3.0
4.572,5.0,3.7,3.7,0.0,7.5,6.503999999999994,5.958,Fase 5 (1º EM),-2,22,3.0
6.943,10.0,4.7,8.1,7.1,5.0,7.645999999999997,7.042,Fase 3 (7º e 8º ano),0,22,3.0
